"date","index","ticker","market_cap","company_name"
"2012-05-24","415","AAPL","527086881312.59","Apple Inc."
"2012-05-25","415","AAPL","524261803037.67","Apple Inc."
"2012-05-29","415","AAPL","533566846332.62","Apple Inc."
"2012-05-30","415","AAPL","540000192899.27","Apple Inc."
"2012-05-31","415","AAPL","538657581441.88","Apple Inc."
"2012-06-01","415","AAPL","523049723249.75","Apple Inc."
"2012-06-04","415","AAPL","526126541172.93","Apple Inc."
"2012-06-05","415","AAPL","524765282334.19","Apple Inc."
"2012-06-06","415","AAPL","532811627387.84","Apple Inc."
"2012-06-07","415","AAPL","533054043345.42","Apple Inc."
"2012-06-08","415","AAPL","541072417327.04","Apple Inc."
"2012-06-11","415","AAPL","532541240358.23","Apple Inc."
"2012-06-12","415","AAPL","537193762005.70","Apple Inc."
"2012-06-13","415","AAPL","533464285735.18","Apple Inc."
"2012-06-14","415","AAPL","532876893222.57","Apple Inc."
"2012-06-15","415","AAPL","535301052798.41","Apple Inc."
"2012-06-18","415","AAPL","546163152436.30","Apple Inc."
"2012-06-19","415","AAPL","547682914016.54","Apple Inc."
"2012-06-20","415","AAPL","546126790042.66","Apple Inc."
"2012-06-21","415","AAPL","538601639297.82","Apple Inc."
"2012-06-22","415","AAPL","542732034267.42","Apple Inc."
"2012-06-25","415","AAPL","532163630885.84","Apple Inc."
"2012-06-26","415","AAPL","533338415911.05","Apple Inc."
"2012-06-27","415","AAPL","535646029353.44","Apple Inc."
"2012-06-28","415","AAPL","530564617934.85","Apple Inc."
"2012-06-29","415","AAPL","544503535495.92","Apple Inc."
"2012-07-02","415","AAPL","554042382197.06","Apple Inc."
"2012-07-03","415","AAPL","560484952934.49","Apple Inc."
"2012-07-05","415","AAPL","570331145948.28","Apple Inc."
"2012-07-06","415","AAPL","566534798024.64","Apple Inc."
"2012-07-09","415","AAPL","574024637154.79","Apple Inc."
"2012-07-10","415","AAPL","568713490305.94","Apple Inc."
"2012-07-11","415","AAPL","565178959480.48","Apple Inc."
"2012-07-12","415","AAPL","560008071791.37","Apple Inc."
"2012-07-13","415","AAPL","565683892455.54","Apple Inc."
"2012-07-16","415","AAPL","567497910921.52","Apple Inc."
"2012-07-17","415","AAPL","567525962753.47","Apple Inc."
"2012-07-18","415","AAPL","566890121229.31","Apple Inc."
"2012-07-19","415","AAPL","574426713412.71","Apple Inc."
"2012-07-20","415","AAPL","565057401542.03","Apple Inc."
"2012-07-23","415","AAPL","564617922841.51","Apple Inc."
"2012-07-24","415","AAPL","561896895142.54","Apple Inc."
"2012-07-25","415","AAPL","537632060507.40","Apple Inc."
"2012-07-26","415","AAPL","537547905011.56","Apple Inc."
"2012-07-27","415","AAPL","547160332759.12","Apple Inc."
"2012-07-30","415","AAPL","556389385470.06","Apple Inc."
"2012-07-31","415","AAPL","571097896021.53","Apple Inc."
"2012-08-01","415","AAPL","567404404815.03","Apple Inc."
"2012-08-02","415","AAPL","568320764658.67","Apple Inc."
"2012-08-03","415","AAPL","575717097682.33","Apple Inc."
"2012-08-06","415","AAPL","582122265977.15","Apple Inc."
"2012-08-07","415","AAPL","580592506074.91","Apple Inc."
"2012-08-08","415","AAPL","579606951712.47","Apple Inc."
"2012-08-09","415","AAPL","580420454838.97","Apple Inc."
"2012-08-10","415","AAPL","581327464071.96","Apple Inc."
"2012-08-13","415","AAPL","589088470910.94","Apple Inc."
"2012-08-14","415","AAPL","590668724110.69","Apple Inc."
"2012-08-15","415","AAPL","589864571594.84","Apple Inc."
"2012-08-16","415","AAPL","595016758062.65","Apple Inc."
"2012-08-17","415","AAPL","606022426796.97","Apple Inc."
"2012-08-20","415","AAPL","621955867343.51","Apple Inc."
"2012-08-21","415","AAPL","613458032385.35","Apple Inc."
"2012-08-22","415","AAPL","625434294505.08","Apple Inc."
"2012-08-23","415","AAPL","619599513459.87","Apple Inc."
"2012-08-24","415","AAPL","620153069610.31","Apple Inc."
"2012-08-27","415","AAPL","631802060357.31","Apple Inc."
"2012-08-28","415","AAPL","630979206620.16","Apple Inc."
"2012-08-29","415","AAPL","629731835159.54","Apple Inc."
"2012-08-30","415","AAPL","620757119058.26","Apple Inc."
"2012-08-31","415","AAPL","622040022839.36","Apple Inc."
"2012-09-04","415","AAPL","631138167001.20","Apple Inc."
"2012-09-05","415","AAPL","626705977553.40","Apple Inc."
"2012-09-06","415","AAPL","632353746385.62","Apple Inc."
"2012-09-07","415","AAPL","636252951026.41","Apple Inc."
"2012-09-10","415","AAPL","619702370177.01","Apple Inc."
"2012-09-11","415","AAPL","617691988887.39","Apple Inc."
"2012-09-12","415","AAPL","626294550684.82","Apple Inc."
"2012-09-13","415","AAPL","638628006131.36","Apple Inc."
"2012-09-14","415","AAPL","646389012970.34","Apple Inc."
"2012-09-17","415","AAPL","654337967083.38","Apple Inc."
"2012-09-18","415","AAPL","656328712090.63","Apple Inc."
"2012-09-19","415","AAPL","656506373692.97","Apple Inc."
"2012-09-20","415","AAPL","653327166072.18","Apple Inc."
"2012-09-21","415","AAPL","654631576257.77","Apple Inc."
"2012-09-24","415","AAPL","645930833048.52","Apple Inc."
"2012-09-25","415","AAPL","629801029678.34","Apple Inc."
"2012-09-26","415","AAPL","621983919175.46","Apple Inc."
"2012-09-27","415","AAPL","637075804763.56","Apple Inc."
"2012-09-28","415","AAPL","623783911725.46","Apple Inc."
"2012-10-01","415","AAPL","618115524223.86","Apple Inc."
"2012-10-02","415","AAPL","619915341944.04","Apple Inc."
"2012-10-03","415","AAPL","629420629278.74","Apple Inc."
"2012-10-04","415","AAPL","625061695737.68","Apple Inc."
"2012-10-05","415","AAPL","611741169798.22","Apple Inc."
"2012-10-08","415","AAPL","598223788795.61","Apple Inc."
"2012-10-09","415","AAPL","596049009050.40","Apple Inc."
"2012-10-10","415","AAPL","600792278667.12","Apple Inc."
"2012-10-11","415","AAPL","588784119815.29","Apple Inc."
"2012-10-12","415","AAPL","590297091586.32","Apple Inc."
"2012-10-15","415","AAPL","595027237532.17","Apple Inc."
"2012-10-16","415","AAPL","609118779135.61","Apple Inc."
"2012-10-17","415","AAPL","604264052056.94","Apple Inc."
"2012-10-18","415","AAPL","593039938799.47","Apple Inc."
"2012-10-19","415","AAPL","571667103372.33","Apple Inc."
"2012-10-22","415","AAPL","594342931836.47","Apple Inc."
"2012-10-23","415","AAPL","574962457129.37","Apple Inc."
"2012-10-24","415","AAPL","578219564759.86","Apple Inc."
